srcDistrictName,Functional Sub Centres,Functional Primary Health Centres,Functional Community Health Centres
Hoshiarpur,223.0,6.0,12.0
Hugli,231.0,0.0,10.0
Hyderabad,6.0,0.0,1.0
Idukki,104.5122014,13.38792663,4.75055461
Imphal East,13.0,4.0,1.0
Imphal West,44.0,8.0,4.0
Indore,196.0,28.0,6.0
J P Nagar (Amroha),191.0,14.0,11.0
Jabalpur,152.5253978,16.94726643,5.157863695
Jagatsinghapur,196.0,24.0,8.0
Jagtial,0.0,0.0,0.0
Jaipur I,604.0,176.0,32.0
Jaipur II,156.0,20.0,8.0
Jaisalmer,404.0,62.0,10.0
Jajapur,261.0,44.0,11.0
Jalandhar,173.0,2.0,12.0
Jalaun,503.0,73.0,16.0
Jalgaon,557.0,16.0,15.0
Jalna,616.0,7.0,15.0
Jalore,315.0,35.0,14.0
Jalpaiguri,127.0,6.0,4.0
Jammu,176.0,37.0,8.0
Jamnagar,90.0,15.0,5.0
Jamtara,454.0,65.0,28.0
Jamui,102.0,33.0,2.0
Jangaon,0.0,0.0,0.0
Janjgir-Champa,169.0,14.0,8.0
Jashpur,132.0,6.0,2.0
Jaunpur,311.0,25.0,8.0
Jayashankar Bhupalapally,0.0,0.0,0.0
Jehanabad,276.0,27.0,4.0
Jhabua,208.0,19.0,5.0
Jhajjar,131.0,8.0,6.0
Jhalawar,585.0,104.0,26.0
Jhansi,175.0,15.0,8.0
Jhargram,332.0,9.0,13.0
Jharsuguda,243.0,32.0,8.0
Jhunjhunu,651.0,95.0,25.0
Jind,160.0,24.0,7.0
Jiribam,12.0,4.0,1.0
Jodhpur,276.0,36.0,11.0
Jogulamba Gadwal,0.0,0.0,0.0
Jorhat,615.0,79.0,26.0
Junagadh,529.0,93.0,24.0
Kadapa,185.0,45.0,0.0
Kaimur,174.0,16.0,4.0
Kaithal,144.0,20.0,6.0
Kakching,17.0,3.0,1.0
Kalahandi,91.0,11.0,6.0
Kalimpong,145.0,7.0,6.0
Kamareddy,0.0,0.0,0.0
Kamjong,26.0,5.0,1.0
Kamle,8.0,3.0,2.0
Kamrup M,835.1542494,56.096009980000005,30.262025107
Kamrup R,738.90867332,110.14105488,25.047418868
Kancheepuram,617.1145994999999,53.2240648,18.0952457
Kandhamal,239.0,32.0,8.0
Kangpokpi,18.0,5.0,1.0
Kangra,441.0,87.0,17.0
Kanker,292.0,34.0,7.0
Kannauj,240.0,11.0,6.0
Kannur,257.0,28.0,15.0
Kanpur Dehat,369.0,23.0,10.0
Kanpur Nagar,175.0,24.0,5.0
Kanyakumari,195.7583535,32.28105213,8.983777525
Kapurthala,81.0,0.0,5.0
Karaikal,129.0,0.0,3.0
Karauli,185.0,45.0,13.0
Karbi Anglong,325.50256621,44.555378033,12.899470979
Kargil,0.0,0.0,0.0
Karimganj,110.0,24.000000001,6.0
Karimnagar,0.0,0.0,1.0
Karnal,137.0,6.0,6.0
Karur,137.4877986,17.61207337,6.24944539
Kasargode,74.0,1.0,4.0
Kashi Ram Nagar,213.0,19.0,13.0
Kathua,188.0,38.0,5.0
Katihar,323.0,49.0,1.0
Katni,124.0,13.0,3.0
Kaushambi,367.0,46.0,14.0
Kawardha,330.0,21.0,8.0
Kendrapara,219.0,23.0,7.0
Kendujhar,182.0,26.0,6.0
Khagaria,186.0,20.0,1.0
Khammam,47.0,8.0,2.0
Khandwa,283.0,26.0,5.0
Khargone,200.0,13.0,7.0
Kheda,291.0,20.0,11.0
Khordha,202.0,25.0,5.0
Khowai District,46.0,12.0,3.0
Khunti,574.0,33.0,28.0
Kinnaur,34.0,24.0,4.0
Kiphire,35.0,8.0,2.0
Kishanganj,156.0,8.0,1.0
Kishtwar,86.0,16.0,1.0
Koch Bihar,240.0,20.0,12.0
Kodagu,401.0,61.0,16.0
Kodarma,188.0,13.0,11.0
Kohima,95.0,38.0,6.0
Kokrajhar,36.69120045,4.985217452,1.196452188
Kolar,578.0,79.0,21.0
Kolasib District,33.0,6.0,1.0
Kolhapur,420.0,6.0,12.0
Kolkata,62.0,6.0,6.0
Kollam,218.0,3.0,13.0
Komaram Bheem Asifabad,0.0,0.0,0.0
Kondagaon,191.0,21.0,7.0
Koppal,504.0,65.0,19.0
Koraput,335.0,50.0,9.0
Korba,323.0,31.0,9.0
Korea,210.0,14.0,7.0
Kota,795.0,117.0,31.0
Kottayam,168.0,4.0,11.0
Kozhikkode,486.0,16.0,20.0
