srcStateName,srcDistrictName,Functional Sub Centres,Functional Primary Health Centres,Functional Community Health Centres,Functional Health and Wellness Centres-Sub Centres,Functional Health and Wellness Centres-Primary Health Centres,Functional Sub Divisional Hospitals,Functional District Hospitals,srcYear,YearCode,Year,Country,StateCode,StateName,DistrictCode
Chhattisgarh,Jashpur,243,32,8,15,3,2,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,8,RAJASTHAN,88
Chhattisgarh,Kawardha,239,32,8,15,3,1,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,8,RAJASTHAN,89
Chhattisgarh,Kanker,91,11,6,60,13,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,8,RAJASTHAN,90
Chhattisgarh,Kondagaon,153,16,6,20,5,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,8,RAJASTHAN,91
Chhattisgarh,Korba,219,23,7,70,20,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,8,RAJASTHAN,92
Chhattisgarh,Korea,182,26,6,15,3,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,8,RAJASTHAN,93
Chhattisgarh,Mahasamund,202,25,5,25,7,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,8,RAJASTHAN,94
Chhattisgarh,Mungeli,111,27,3,15,2,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,8,RAJASTHAN,95
Chhattisgarh,Narayanpur,48,5,1,10,3,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,8,RAJASTHAN,96
Chhattisgarh,Raigarh,335,50,9,15,2,3,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,8,RAJASTHAN,97
Chhattisgarh,Raipur,245,40,11,35,9,3,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,8,RAJASTHAN,98
Chhattisgarh,Rajnandgaon,276,36,10,60,14,1,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,8,RAJASTHAN,99
Chhattisgarh,Sukma,76,9,3,10,3,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,8,RAJASTHAN,100
Chhattisgarh,Surajpur,204,32,8,15,3,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,8,RAJASTHAN,101
Chhattisgarh,Surguja,193,24,7,15,3,1,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,8,RAJASTHAN,102
Goa,North Goa,114,0,3,0,11,0,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,8,RAJASTHAN,102
Goa,South Goa,105,0,2,0,13,2,1,2018-19,2018,"Financial Year (Apr - Mar), 2018",India,8,RAJASTHAN,103
